SOURCE	TARGET
مشهورة .	مشهورة.

بكون	بيكون
ممنونك	ممنونك
إزا	اذا
بتجدد	بتجدد
العأد.	العقد.

وين	وين
إسم	اسم
المفؤودات؟	المفقودات؟

إزا	اذا
بتريد	بتريد
إلي	قل لي
أي	اي
مطعم	مطعم
مشهور	مشهور
بالأكل	بالاكل
المحلي.	المحلي.

وأعت	وقعت
كاميرتي.	كاميرتي.
فيك	فيك
تشفلي	تشوف لي
إزا	اذا
بها	بها
شي؟	شي؟

عندي	عندي
ممتلكات	ممتلكات
شخصية	شخصية
بهالشنطة.	بهالشنطة.

بدي	بدي
روح	روح
عالحمام،	عالحمام،
بس	بس
معي	معي
شنط	شنط
كتير.	كثير.
لازم	لازم
إنطر.	انطر.

الأوضة	الاوضة
اللي	اللي
حدي	حدي
مزعجة.	مزعجة.

روعة.	روعة.
ما في	مافيه
يكون	يكون
أليل	قليل
الدسم.	الدسم.
التنان	الثنين
سوا.	سوا.

خمستعش	خمستعش
ايه.	ايه.
آعد	قاعد
بالمطرح	بالمطرح
الغلط؟	الغلط؟

مزبوط	مظبوط
هالشي؟	هالشي؟
طيب،	طيب،
شو	شو
رح	رح
يصير؟	يصير؟

تضررت	تضررت
شنطتي.	شنطتي.

بس	بس
تشوف	تشوف
واحد،	واحد،
لوح	لوح
بإيدك.	بايدك.

مئاعد	مقاعد
أول	اول
طابئ،	طابق،
إزا	اذا
بتريد.	بتريد.

بدي	بدي
بطاءة	بطاقة
جديدة.	جديدة.

هدية	هدية
لإمي.	لامي.

بدي	بدي
إبعت	ابعث
هيدي	هيدي
الرسالة	الرسالة
بالبريد	بالبريد
الجوي.	الجوي.

الفيلم	الفيلم
ببلش	بيبلش
الساعة	الساعة
عشرة	عشرة
ونص	ونص
بالليل	بالليل
وبيخلص	وبيخلص
الساعة	الساعة
وحدة	واحدة
بع	بعد
نص	نص
ليل.	الليل.

تفضل	تفضل
الباقي،	الباقي،
يا	يا
إستاز.	استاذ.

من	من
وين	وين
بقدر	باقدر
جيب	جيب
بطاءة	بطاقة
سفر	سفر
بسعر	بسعر
مأبول؟	مقبول؟

وين	وين
طاولة	طاولة
الأكسسوارات؟	الاكسسوارات؟

عم	عم
بئولو	بيقولوا
تحت	تحت
الصفر.	الصفر.

بدي	بدي
إدفع	ادفع
خمسين	خمسين
دولار	دولار
وعشرين	وعشرين
ألف	الف
ين	ين
ياباني	ياباني
للتوازن.	للتوازن.

عندك	عندك
نموذج	نموذج
كيف	كيف
يتملي؟	يتملي؟

فيك	فيك
تفرجيني	تفرجيني
كيف	كيف
بيلعبو	بيلعبوا
هاللعبة؟	هاللعبة؟

لأنو	لانه
بأمريكا،	بامريكا،
كتير	كثير
هينة	هينة
الواحد	الواحد
يفوت	يفوت
عالجامعة	عالجامعة
بس	بس
كتير	كثير
صعبة	صعبة
إنو	انه
يتخرج.	يتخرج.

ما	ما
فيك	فيك
تجيب	تجيب
فرقيع	فرقيع
على	على
كندا.	كندا.

شو	شو
هالطباخة	هالطباخة
الممتازة	الممتازة
مرتك .	مرتك.

عايز	عايز
أي	اي
مساعدة؟	مساعدة؟

فيك	فيك
تحجز	تحجز
لتاكسي	لتاكسي
لبكرا	لبكرا
ستة	ستة
الصبح،	الصبح،
عمول	اعمول
معروف؟	معروف؟

شو	شو
بتحب	بتحب
مع	مع
طبقك	طبقك
الرئيسي؟	الرئيسي؟

هيدا	هيدا
المطرح	المطرح
معبى	معبا
عالم،	عالم،
ما	ما
هيك؟	هيك؟

بعتذر .	باعتذر.
رح	رح
يجهزوا	يجهزوا
بحوالي	بحوالي
الخمس	الخمس
دقايق .	دقايق.

تشنجت	تشنجت
رقبتي	رقبتي
أنا	انا
و نايم .	ونايم.

اوك،	اوك،
مش	مش
مشكلة .	مشكلة.
فيي	فيي
شوف	شوف
باسبورك؟	باسبورك؟

أي	اي
ساعة	ساعة
لازم	لازم
كون	كون
بالمحطة؟	بالمحطة؟

في	فيه
كتير	كثير
من	من
المطاعم	المطاعم
هون .	هون.

حد	حد
أوضة	اوضة
الامانات.	الامانات.

مبسوط	مبسوط
إنو	انه
حكيت	حكيت
معك .	معك.

نبسطت	انبسطت
بإقامتي .	باقامتي.
يسلمو .	يسلموا.

البحر	البحر
صار	صار
تحت .	تحت.
شو	شو
هالمنظر	هالمنظر
الحلو .	الحلو.

يسلمو	يسلموا
عالنطرة،	عالنطرة،
انسة	آنسة
ماغواير.	مغواير.
هيدا	هيدا
هوي .	هو.
تفضلي،	تفضلي،
ازا	اذا
بتريدي.	بتريدي.

عندك	عندك
صورة	صورة
هوية؟	هوية؟

سبعة،	سبعة،
عمول	اعمول
معروف .	معروف.

بدي	بدي
إبعت	ابعث
هيدا	هيدا
للغسيل.	للغسيل.
أمتين	امتين
رح	رح
يكون	يكون
جاهز؟	جاهز؟

عندي	عندي
بنطلون	بنطلون
مزيح.	مزيح.

إيه.	ايه.
شنطات	شنطات
شخص	شخص
تاني	ثاني
تسلمو	اتسلموا
لأوضتي	لاوضتي
هلأ .	هلق.
فيك	فيك
تتأكد	تتأكد
منن،	منهن،
عمول	اعمول
معروف؟	معروف؟

فيي	فيي
إخدا	آخذها
مفسرة	مفسرة
أكتر	اكثر
بالتفاصيل؟	بالتفاصيل؟

نمت	نمت
منيح؟	منيح؟

فيك	فيك
تكبس	تكبس
عزر	عزر
التصوير؟	التصوير؟

مفتاحين،	مفتاحين،
عمول	اعمول
معروف .	معروف.

هوي	هو
بأخر	بآخر
الكوريدور .	الكوريدور.

رايحين	رايحين
بالباص؟	بالباص؟

قلت	قلت
إنك	انك
رايح	رايح
عطوكيو	عطوكيو
بكرا؟	بكرة؟

لازم	لازم
إنقل	انقل
على	على
أ	ا
و	و
واحد	واحد
صفر	صفر
صفر .	صفر.
ممكن؟	ممكن؟

كيفا	كيفها
لعبتك	لعبتك
هالإيام؟	هالايام؟

ما	ما
في	فيه
مشكلة .	مشكلة.
إذا	اذا
بتجي	بتجي
بخمسة	بخمسة
أيلول،	ايلول،
فيك	فيك
تتمتع	تتمتع
بعرض	بعرض
فيلم	فيلم
علمي	علمي
لإنو	لانه
عنا	عننا
يوم	يوم
مميز	مميز
مفتوح	مفتوح
كل	كل
أول	اول
يوم	يوم
جمعة	جمعة
من	من
كل	كل
أول	اول
شهر.	شهر.

عندك	عندك
أي	اي
جولة	جولة
تانية؟	ثانية؟

تمام،	تمام،
خمسة	خمسة
بالمية	بالمية
حسم .	خصم.
بيمشي	بيمشي
الحال؟	الحال؟

انا	انا
رايح	رايح
عباريس .	عباريس.

منو	مانه
أجد	اجد
نموذج،	نموذج،
ما	ما
هيك؟	هيك؟

مسجل	مسجل
للتمانة	للثمانة
و نص	ونص
عشية	عشية
بالتوقيت	بالتوقيت
المحلي.	المحلي.

خود	خوذ
هالبناية	هالبناية
معنا،	معنا،
عمول	اعمول
معروف .	معروف.

أوك .	اوك.
رح	رح
إخد	آخذ
جاط	جاط
وسط	وسط
و طابة	وطابة
رز .	رز.

كيف	كيف
هالشكل؟	هالشكل؟

بدي	بدي
شوف	شوف
هيدا	هيدا
اللي	اللي
بالشباك،	بالشباك،
عمول	اعمول
معروف .	معروف.

و لا	ولا
ممكن .	ممكن.
نحنا	نحنا
بعطلة .	بعطلة.
ما	ما
بقبل	باقبل
إقعد	اقعد
بأوضة	باوضة
أوتيل	اوتيل
و أحضر	واحضر
بايسبول	بيسبول
عالتلفزيون.	عالتلفزيون.
بدي	بدي
روح	روح
أحضر	احضر
مسرحية.	مسرحية.

فيي	فيي
إدأرو؟	ادأره؟

فيك	فيك
تجي	تجي
لهون	لهون
لتصلحو؟	لتصلحه؟

بدي	بدي
شوية	شوية
ألياف	الياف
صناعية .	صناعية.

إسمي	اسمي
تارو	تارو
تاناكا .	تاناكا.
عندي	عندي
حجز .	حجز.

بدي	بدي
كريم	كريم
للتنضيف .	للتنضيف.

بدي	بدي
كنزة	كنزة
مع	مع
كمام	اكمام
طوال .	طوال.

نسرقت	انسرقت
من	مني
شنطتي .	شنطتي.

طرقاتنا	طرقاتنا
مبينة	مبينة
عمتلتقى	عم تلتقي
كتير	كثير
مرات،	مرات،
ما	ما
هيك؟	هيك؟

فيي	فيي
ارجع	ارجع
شوف	شوف
المنيو؟	المنيو؟
؟	

بعدن	بعدهن
خضر	خضر
شوي.	شوي.
.	

اديه؟	قديه؟
؟	

فريز،	فريز،
إذا	اذا
بتريد .	بتريد.
.	

لا	لا
بعد،	بعد،
في	في
كتير	كثير
اشيا	اشيا
ننقي	ننقي
منا.	منها.
.	

فيك	فيك
تقصر	تقصر
الكمام؟	الاكمام؟
؟	

للأسف	للاسف
ما	ما
في	فيه
ملعب	ملعب
غولف	غولف
هون.	هون.

فيك	فيك
تفرجيني	تفرجيني
تاني	ثاني
خاتم	خاتم
عالشمال؟	عالشمال؟

فيك	فيك
تقلو	تقول له
يتلفنلي؟	يتلفن
؟	لي؟

حاولت	حاولت
اعمل	اعمل
مخابرة	مخابرة
دولية .	دولية.
قدرت	قدرت
تعلق؟	تعلق؟

ايه،	ايه،
هوي.	هو.
لأنو	لانه
في	في
علم	علم
حد	حد
مكتب	مكتب
البريد.	البريد.
.	

بدي	بدي
اعمل	اعمل
اتصال	اتصال
بكريدت	بكريدت
كارد.	كارد.
.	

بدي	بدي
لإلي	لالي
لبرا.	لبرا.
.	

لما	لما
يوصل،	يوصل،
رح	رح
ندفع	ندفع
لنشحنو	لنشحنه
ععنوان	ععنوان
بيتك.	بيتك.
.	

اه	آه
اوك	اوك
فهمت.	فهمت.
جاي	جاي
لعندك.	لعندك.
.	

لا	لا
هلقد	هالقد
بكفي.	بيكفي.
.	

فيي	فيي
اخد	آخذ
حرام	حرام
و مخدة؟	ومخدة؟
؟	

فيك	فيك
تجي	تجي
لهون	لهون
بأسرع	باسرع
وقت	وقت
لو	لو
سمحت؟	سمحت؟
؟	

فنجان	فنجان
قهوة	قهوة
لو	لو
سمحت.	سمحت.
.	

فيك	فيك
تضيقلي	تضيق لي
الخصر	الخصر
تلاتة	ثلاثة
سنتي؟	سنتي؟
؟	

انا	انا
نفس	نفس
العمر.	العمر.
.	

بتجبلي	بتجيب لي
قهوة؟	قهوة؟
؟	

لازم	لازم
نصوت	نصوت
عهالشي؟	عهالشي؟
اذا	اذا
لأ،	لأ،
بعتقد	باعتقد
وصلنا	وصلنا
لخلاصة،	لخلاصة،
و رح	ورح
ابعتا	ابعثها
لمجلس	لمجلس
الادارة	الادارة
تبعنا	تبعنا
بكرا	بكرة
الصبح.	الصبح.

بتعرف	بتعرف
اذا	اذا
في	في
شي	شي
اوتيلات	اوتيلات
رخيصة؟	رخيصة؟
؟	

صباح	صباح
الخير،	الخير،
نمت	نمت
منيح؟	منيح؟
؟	

شو	شو
ناوي	ناوي
تعمل	تعمل
بعد	بعد
ما	ما
تخلص	تخلص
مدرسة؟	مدرسة؟
؟	

نسرقت	انسرقت
من	مني
الشنطة	الشنطة
لبكتفي	اللي بكتفي
بالشارع .	بالشارع.

اخدت	اخذت
شي	شي
خدمات	خدمات
غير	غير
الترويقة	الترويقة
اليوم	اليوم
الصبح؟	الصبح؟
؟	

بدي	بدي
فنجان	فنجان
قهوة	قهوة
بيضا	بيضا
إذا	اذا
بتريد.	بتريد.

بتمنى	باتمنى
ما	ما
تكون	تكون
كتير	كثير
تعبان.	تعبان.

بدي	بدي
استأجر	استأجر
سيارة	سيارة
من	من
هالنوع	هالنوع
ليومين.	ليومين.

رح	رح
اخد	آخذ
قدح	قدح
جاك	جاك
دانيلز.	دانيلز.

بدي	بدي
كيس	كيس
بوشار	بوشار
إذا	اذا
بتريد.	بتريد.

وقعت	وقعت
عصاية	عصاية
التزلج.	التزلج.

ما	ما
منجيب	منجيب
هدايا	هدايا
للاستقبال،	للاستقبال،
الزوار	الزوار
بجيبو	بجيبوا
مصاري.	مصاري.

بدي	بدي
ابعتو	ابعته
بالبريد	بالبريد
البري	البري
او	او
البحري.	البحري.

الطيارة	الطيارة
وصلت	وصلت
مأخرة	مأخرة
كرمال	كرمال
التلج	الثلج
القوي.	القوي.

الأجار،	الاجار،
إذا	اذا
بتريد .	بتريد.

فيك	فيك
تاخد	تاخذ
رسالة،	رسالة،
إذا	اذا
بتريد؟	بتريد؟

عفوا	عفوا
ما	ما
قادر	قادر
تابع	تابع
معك،	معك،
فيك	فيك
تحكي	تحكي
ابطء	ابطأ
شوي	شوي
إذا	اذا
بتريد؟	بتريد؟

قيي	فيي
اخد	آخذ
صور؟	صور؟

من	من
مية .	مية.

فيي	فيي
اخد	آخذ
نفس	نفس
الصحن	الصحن
متل	مثل
هيداك؟	هيداك؟

إذا	اذا
بتريد	بتريد
جبلي	جيب لي
ترويقتي	ترويقتي
عغرفتي	عغرفتي
عالسبعة	عالسبعة
الصبح	الصبح
بكرا.	بكرة.

عامل	عامل
الصيانة	الصيانة
طالع	طالع
بعد	بعد
شوي.	شوي.

في	في
مطارح	مطارح
فاضية	فاضية
فجولة	فجولة
الخميس؟	الخميس؟

عن	عن
اذنك.	اذنك.
فيي	فيي
امرق؟	امرق؟

عندك	عندك
شي	شي
نبتات	نبتات
و فواكه؟	وفواكه؟

إذا	اذا
بتريد	بتريد
قلي	قول لي
كيف	كيف
بعبي	باعبي
كرت	كرت
الدخول؟	الدخول؟

بعتقد	باعتقد
سيارتي	سيارتي
بتسوى	بتسوى
خمستلاف	خمس آلاف
دولار.	دولار.

هيدا	هيدا
الاكل	الاكل
قليل	قليل
بالسعرات	بالسعرات
الحرارية؟	الحرارية؟

اي	اي
باص	باص
لازم	لازم
اخد	آخذ
لروح	لروح
عالمحطة؟	عالمحطة؟

ايه.	ايه.
بس	بس
لازم	لازم
تفتل	تفتل
عاليمين	عاليمين
عالاشارة	عالاشارة
التالتة	الثالثة
و بتضل	وبتضل
عنفس	عنفس
الشارع	الشارع
لتوصل	لتوصل
لطريق	لطريق
ستة	ستة
و ستين.	وستين.

بكون	باكون
ممنون	ممنون
اذا	اذا
اخدتني	اخذتني
عالبحر .	عالبحر.

بعتذر.	باعتذر.
الرقم	الرقم
غلط.	غلط.
هون	هون
تانكيوشا	تانكيوشا
برس .	برس.

عمنعمل	عم نعمل
تشيك	تشيك
اوت.	اوت.

إذا	اذا
بتريد	بتريد
عطي	اعطي
هالدوا	هالدوا
لابنك.	لابنك.
مرة	مرة
بعد	بعد
كل	كل
وجبة.	وجبة.

هالموديل	هالموديل
موجود	موجود
منو	منه
قياس	قياس
تمانة	ثمانة
و عشرين،	وعشرين،
واحد	واحد
و تلاتين،	وثلاثين،
و خمسة	وخمسة
و تلاتين	وثلاثين
سنتي.	سنتي.

اوه،	اوه،
كتير .	كثير.

فيي	فيي
استعمل	استعمل
تلفونك؟	تلفونك؟

بدي	بدي
اكد	اكد
رحلتي	رحلتي
عشيكاغو	عشيكاغو
ب سبعتاعش	بسبعتاعش
الشهر.	الشهر.

اكلت	اكلت
زيادة .	زيادة.

فيي	فيي
احكي	احكي
مع	مع
السيد	السيد
يراون؟	براون؟

العيش	العيش
بهالبيت	بهالبيت
مبين	مبين
مريح،	مريح،
صح؟	صح؟

محفظتي،	محفظتي،
باسبوري،	باسبوري،
و اشيا	واشيا
شخصية	شخصية
غير .	غير.

اي	اي
ساعة	ساعة
بتسكر؟	بتسكر؟

هيدا	هيدا
لكنت	اللي كنت
رح	رح
قولو.	قول له.

ايه	ايه
بعتقد.	باعتقد.

بيتك	بيتك
كبير.	كبير.
كم	كم
غرفة؟	غرفة؟

حبينا	حبينا
العشا .	العشا.

اه	آه
ايه	ايه
إذا	اذا
بتريد.	بتريد.
بس	بس
بتمنى	باتمنى
ما	ما
يصير	يصير
عندن	عندهن
دوخة	دوخة
بالبحر .	بالبحر.

اي	اي
وقت	وقت
متوقع	متوقع
نوصل؟	نوصل؟

فالل	فالل
الصبح	الصبح
بكير	بكير
فا بدي	فبدي
ادفع	ادفع
هلق .	هلق.

هوي	هو
مشغول	مشغول
هلق .	هلق.

فين	فيهن
الغربا	الغربا
ياخدوا	ياخذوا
كتب	كتب
بهالمكتبة ؟	بهالمكتبة؟

في	فيه
مجال	مجال
ابقى	ابقى
بغرفتي	بغرفتي
للساعة	للساعة
تنتين	ثنتين
بعد	بعد
الظهر؟	الظهر؟

ها ها .	هاها#.
صباحو	صباحو
بوقتك .	بوقتك.
معليه.	معليه.

بغيت	بغيت
شي	شي
فيلم	فيلم
ديال	ديال
رقم	رقم
هاد	هاد
ال إيه	الايه
اس	اس
إيه	ايه
لهاد	لهاد
الكاميرا،	الكاميرا،
عفاك.	عافاك.

وين	وين
لوحات	لوحات
مونيت؟	موني؟

هالبيتزا	هالبيتزا
طيبة	طيبة
مين	مين
عملا؟	عملها؟

كيف	كيف
طعمتو	طعمته
هالصحن؟	هالصحن؟

غاليين	غاليين
كمان .	كمان.

ايمتى	ايمتى
بفل	بيفل
تاني	ثاني
تراين	تراين
عبوسطن؟	عبوسطن؟

شاطر	شاطر
هيدا	هيدا
راكب	راكب
الأمواج.	الامواج.

للأسف	للاسف
الكمام	الاكمام
كتير	كثير
قصار .	قصار.

فيك	فيك
تقلي	تقول لي
كيف	كيف
بعبي	باعبي
البنزين؟	البنزين؟

تكلفة	تكلفة
الاوتيل	الاوتيل
ضمنا	ضمنها
الترويقة؟	الترويقة؟

هيدا	هيدا
كل	كل
شي؟	شي؟

بهيدا	بهيدا
الشارع .	الشارع.

إذا	اذا
بتريد	بتريد
بلش	بلش
العداد.	العداد.

غرفتي	غرفتي
كتير	كثير
باردة .	باردة.

برجعلك	بارجع لك
بس	بس
تخف	تخف
العجقة	العجقة
عنا	عننا
شوي .	شوي.

حاسس	حاسس
حالي	حالي
احسن .	احسن.

إذا	اذا
بتريد	بتريد
فرجيني	فرجيني
انا	انا
وين	وين
عهالخريطة .	عهالخريطة.

مية	مية
بالمية	بالمية
قطن .	قطن.

بدي	بدي
انقل	انقل
عغرفة	عغرفة
مطلة	مطلة
عالمحيط .	عالمحيط.
في	فيه
دفع	دفع
زيادة؟	زيادة؟

اديه	قديه
اجار	اجار
نص	نص
نهار؟	نهار؟

عشرة	عشرة
تشرين	تشرين
التاني .	الثاني.

كتير	كثير
طيب .	طيب.

ايمتى	ايمتى
حنقلع؟	حنقلع؟

كيف	كيف
بيعرف	بيعرف
الشوفير	الشوفير
ايمتى	ايمتى
بدك	بدك
تنزل؟	تنزل؟

خمسة	خمسة
و عشرين	وعشرين
دولار .	دولار.
بدك	بدك
اكتر؟	اكثر؟

عملت	عملت
الحجز	الحجز
بطوكيو	بطوكيو
من	من
شهر .	شهر.

بتشكرك	باتشكرك
من	من
كل	كل
قلبي .	قلبي.

بنزل	بانزل
هون	هون
عسنتر	عسنتر
روكفلر؟	روكفلر؟

إذا	اذا
بتريد	بتريد
قسلي	قيس لي
قياس	قياس
صباطي .	صباطي.

بعقد.	بيعقد.

بتضهري	بتضهري
معي	معي
بموعد؟	بموعد؟

إذا	اذا
بتريد	بتريد
نضف	نظف
هالكبوت .	هالكبوت.

بدي	بدي
استأجر	استأجر
زورق.	زورق.

وين	وين
قسم	قسم
النسوان؟	النسوان؟

القهوة	القهوة
مش	مش
من	من
ضمنن؟	ضمنهن؟

باي	باي
حقل	حقل
كان	كان
قبل؟	قبل؟

ارف.	قرف.
ارف.	قرف.
ارف.	قرف.
ارف.	قرف.
تعودت	تعودت
عوشا .	عوشها.

لازم	لازم
ادفع	ادفع
الزيادة	الزيادة
بس	بس
فوت	فوت
عالمبنى؟	عالمبنى؟

جرحي	جرحي
عميوجعني	عم
.	يوجعني.

وين	وين
المحطة؟	المحطة؟

بردان .	بردان.

تلت	ثلاث
ايام .	ايام.

ما	ما
بدي	بدي
واحد	واحد
ضخم .	ضخم.

رح	رح
يكون	يكون
في	في
شوي	شوي
تاخير .	تاخير.

شو	شو
الفرق	الفرق
بين	بين
هوليك	هوليك
الاوتيلات؟	الاوتيلات؟

كان	كان
رائع	رائع
شكرا	شكرا
الك.	الك.

عندك	عندك
اي	اي
شي	شي
اطول؟	اطول؟

تاريخ	تاريخ
الانتهاء	الانتهاء
تسعاتعش	تسعتاعش
اذار	اذار
الف	الف
تسعمية	تسعمية
تسعة	تسعة
و تسعين .	وتسعين.

في	فيه
كازينو	كازينو
مناح؟	مناح؟

هيدي	هيدي
المصاري	المصاري
للاقلام.	للاقلام.
مية	مية
دولار .	دولار.

وين	وين
قسم	قسم
النسواني؟	النسواني؟

وين	وين
في	فيي
اطلع	اطلع
عاالشختورة؟	عاالشختورة؟

رفيقي	رفيقي
انجرح .	انجرح.

مبين	مبين
منيح .	منيح.

فيك	فيك
إذا	اذا
بتريد	بتريد
تقصلي	تقص لي
شواربي ؟	شواربي؟

ما	ما
فيي	فيي
بيع	بيع
هيدا	هيدا
بلا	بلا
وصفة .	وصفة.

فيي	فيي
احجز	احجز
خمس	خمس
مقاعد	مقاعد
مع	مع
بعض	بعض
بنفس	بنفس
الصف؟	الصف؟

اي	اي
سيارة	سيارة
عندا	عندها
احسن	احسن
استهلاك	استهلاك
بنزين؟	بنزين؟

ما	ما
حتاخد	حتاخذ
خصم	خصم
قد	قد
ما	ما
حاولت .	حاولت.

فيك	فيك
تفتح	تفتح
هالشنطة	هالشنطة
إذا	اذا
بتريد؟	بتريد؟
شوفي	شو فيه
بقلبا؟	بقلبها؟

بدي	بدي
اعمل	اعمل
مكالمة	مكالمة
بعيدة	بعيدة
لأوتيل	لاوتيل
هيلتون	هيلتون
ببوسطن .	ببوسطن.

انتبه	انتبه
السقف	السقف
واطي .	واطي.

ما	ما
قادر	قادر
شوف	شوف
الشاشة	الشاشة
منيح	منيح
من	من
هون	هون
فيي	فيي
غير	غير
المقاعد	المقاعد
شوي؟	شوي؟

زرت	زرت
البحيرات	البحيرات
العظيمة	العظيمة
لأول	لاول
مرة .	مرة.

في	فيه
شي	شي
غلط	غلط
بمكنة	بمكنة
المشتريات .	المشتريات.

بدي	بدي
حكيم .	حكيم.

ادية	قديه
الا	الها
ببريطانيا؟	ببريطانيا؟

حدا	حدا
متلك	مثلك
بحب	بيحب
الفنون	الفنون
الجديدة	الجديدة
رح	رح
ينبسط	ينبسط
بلوحات	بلوحات
الهيبي	الهيبي
و مشهد	ومشهد
الموسيقى	الموسيقى
بالشارع .	بالشارع.

اي	اي
ساعة؟	ساعة؟

شايف	شايف
المبنى	المبنى
الابيض	الابيض
صح؟	صح؟
هوي	هو
حدو .	حده.

الناس	الناس
اليابانية	اليابانية
ما	ما
بتاخد	بتاخذ
عطل	عطل
طويلة .	طويلة.

حاسس	حاسس
الكل	الكل
عمحدق	عم يحدق
فيي .	فيي.
هلقد	هالقد
نادر	نادر
انو	انه
تشوف	تشوف
شخص	شخص
ياباني؟	ياباني؟

اي	اي
جهة	جهة
مدخل	مدخل
مكتب	مكتب
البريد	البريد
المركزي؟	المركزي؟

وين	وين
موقف	موقف
باصات	باصات
غريهاوند	غريهاوند
بهالبلدة؟	بهالبلدة؟

بس	بس
مش	مش
المطاعم	المطاعم
اليايانبة	اليايانبة
ب كيوتو	بكيوتو
غاليين؟	غاليين؟

بعتقد	باعتقد
شوي	شوي
عالي	عالي
لالي .	لالي.

بدي	بدي
نسبة	نسبة
الحجز .	الحجز.

من	من
وين	وين
فيي	فيي
اشتري	اشتري
بطاقة	بطاقة
سابواي؟	سبوي؟

رح	رح
اخد	آخذ
مقاعد	مقاعد
درجة	درجة
اولى	اولى
صح؟	صح؟

اديه	قديه
اجار	اجار
التاكسي	التاكسي
من	من
هالاوتيل	هالاوتيل
للمحطة؟	للمحطة؟

فيي	فيي
اخد	آخذ
هيدا	هيدا
و هيدا	وهيدا
إذا	اذا
بتريد؟	بتريد؟

بقولو	بيقولوا
اليابان	اليابان
بلد	بلد
كتير	كثير
غني.	غني.

في	فيه
غرف	غرف
فاضية	فاضية
بسيارة	بسيارة
النوم؟	النوم؟

هيدي	هيدي
هدية	هدية
لرفيق.	لرفيق.

التلج	الثلج
بخلي	بيخلي
الطريق	الطريق
يزحط .	يزحط.

ما	ما
قادر	قادر
لاقي	لاقي
كاميرتي .	كاميرتي.

معك	معك
شي	شي
للتصريح؟	للتصريح؟

شفت	شفت
كبوت	كبوت
ازرق؟	ازرق؟
حطيتو	حطيته
عهالكرسي .	عهالكرسي.

انا	انا
من	من
طوكيو.	طوكيو.

بدي	بدي
كريم	كريم
غسول	غسول
رفلون .	رفلون.

عندي	عندي
حاجات	حاجات
للغسيل .	للغسيل.

رح	رح
اخد	آخذ
هوت	هوت
شوكلت .	شوكلت.

فينا	فينا
ننضفلك	ننضف لك
غرفك.	غرفك.

مميز،	مميز،
إذا	اذا
بتريد .	بتريد.

اديه	قديه
ل أوتيل	لاوتيل
سي؟	سي؟

بدي	بدي
احجز	احجز
طاولة	طاولة
لشخصين	لشخصين
عالسبعة،	عالسبعة،
إذا	اذا
بتريد .	بتريد.

بدي	بدي
كريم	كريم
لليل .	لليل.

فيك	فيك
تلفلي	تلف لي
ياه	اياه
هدية؟	هدية؟

الساعة	الساعة
تلاتة	ثلاثة
و ربع .	وربع.

رح	رح
ابعت	ابعث
فواتير	فواتير
حاجاتي	حاجاتي
اليومية،	اليومية،
فا إذا	فاذا
بتريد	بتريد
خبرني	خبرني
عنوان	عنوان
و اسم	واسم
الشخص	الشخص
المسؤول .	المسؤول.

عندك	عندك
متل	مثل
هيدا	هيدا
نفس	نفس
الموديل	الموديل
بس	بس
كعب	كعب
أعلى؟	اعلى؟

بدي	بدي
كنزة	كنزة
لصبي	لصبي
عمرو	عمره
عشر	عشر
سنين .	سنين.

خدني	خذني
عأبي	عآبي
رود،	رود،
إذا	اذا
بتريد .	بتريد.

انا	انا
متأكد	متأكد
عندي	عندي
حجز .	حجز.

رح	رح
ابعتلك	ابعث لك
ياها،	اياها،
فا إذا	فاذا
بتريد	بتريد
نطرني	انطرني
هون .	هون.

عندي	عندي
وجع	وجع
راس	راس
خفيف.	خفيف.

حبيت	حبيت
الوجبة	الوجبة
كتير .	كثير.

لا	لا
إذا	اذا
بتريد	بتريد
تفضل	تفضل
قعود	اقعود
و نطور.	وانطور.
انا	انا
برجعلك	بارجع
.	لك.

فيك	فيك
ترسملي	ترسم لي
خريطة	خريطة
إذا	اذا
بتريد؟	بتريد؟

نسرقت	انسرقت
عبحر	عبحر
وايمانالو.	وايمانالو.
إذا	اذا
بتريد	بتريد
تعا	تعا
هلأ .	هلق.

شو	شو
رأيك	رأيك
بمية	بمية
دولار؟	دولار؟

بدي	بدي
هيدا	هيدا
ملفوف.	ملفوف.

بدي	بدي
سجل	سجل
لاعادة	لاعادة
اصدار .	اصدار.

الحكومة	الحكومة
دعمت	دعمت
ترقية	ترقية
الصناعات.	الصناعات.

عمرو	عمره
اكتر	اكثر
من	من
خمسين	خمسين
بعتقد.	باعتقد.

عندك	عندك
خرايط	خرايط
بسيطة	بسيطة
للمدينة؟	للمدينة؟

اي	اي
ساعة	ساعة
بيوصل	بيوصل
الترين	الترين
عسان	عسان
دييغو،	دييغو،
إذا	اذا
بتريد ؟	بتريد؟

بدي	بدي
اخد	آخذ
نظرة	نظرة
ععلبتك .	ععلبتك.

بدي	بدي
شامبو.	شامبو.

انا	انا
نازل	نازل
بأوتيل	باوتيل
